Company Name,Category Groups,Headquarters Location,Description,Crunchbase Rank,Number of Employees,Website,Extra
i.am+,"Science and Engineering, Hardware, Data and Analytics, Software, Clothing and Apparel, Artificial Intelligence, Design","Los Angeles, California, United States",i.am+ designs and manufactures wearable products.,990,51-100,http://iamplus.com,TRUE
FUEL CYCLE,"Data and Analytics, Software, Design","Los Angeles, California, United States",FUEL CYCLE operates an online community platform that gives insights and intelligence about customers.,1452,51-100,https://www.fuelcycle.com/,TRUE
Oblong Industries,"Hardware, Software","Los Angeles, California, United States",Oblong develops gesture-based computing tools.,1754,101-250,http://www.oblong.com,TRUE
Crownpeak,Software,"Los Angeles, California, United States",Crownpeak is the only cloud-first Digital Experience Management (DXM) platform with native Digital Quality Management (DQM).,2026,101-250,http://www.crownpeak.com,TRUE
Chrome River Technologies,"Travel and Tourism, Hardware, Consumer Electronics, Software","Los Angeles, California, United States",Chrome River Technologies is a global provider of expense reporting and invoice management.,3267,251-500,http://www.chromeriver.com,TRUE
ICON Aircraft,"Science and Engineering, Hardware, Software, Transportation","Los Angeles, California, United States","ICON Aircraft's mission is to bring the freedom, fun, and adventure of flying to all who have dreamed of flight.",4036,51-100,http://www.iconaircraft.com,TRUE
