Company Name,Category Groups,Headquarters Location,Description,Crunchbase Rank,Number of Employees,Website,Extra
Zimmer Biomet Holdings,"Hardware, Software, Sports, Health Care","Warsaw, Indiana, United States","Zimmer designs, develops, manufactures and markets orthopaedic reconstructive and spinal products.",225,10001+,http://zimmer.com,
Hudl,"Media and Entertainment, Software, Sports, Video","Lincoln, Nebraska, United States",Hudl is a platform and software that provides video analysis and coaching tools for sports teams.,535,51-100,http://www.hudl.com,
Livelike,"Apps, Hardware, Media and Entertainment, Software, Sports, Video, Mobile","New York, New York, United States",LiveLike provides on-demand sports VR media content.,"3,417",Nov-50,http://www.livelikevr.com,
ShotTracker,"Hardware, Commerce and Shopping, Software, Sports","Olathe, Kansas, United States",ShotTracker makes sensor-based technology that automatically captures basketball statistics in real-time during practices and games.,"3,536",Nov-50,http://shottracker.com,
STRIVR Labs,"Hardware, Information Technology, Software, Sports, Education","Menlo Park, California, United States",The world leader in using VR to train individuals and improve performance. Learn faster and more effectively with the power of immersive VR.,"4,246",Nov-50,http://www.strivrlabs.com,
